phrase;different;intent_obtained;intent_expected;entities_obtained;entities_expected;domain_obtained;domain_expected
Holu;I;None;intent.common.greetings;[];[];domain.common;domain.common
¿Dan algún programa de aventuras hoy?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'hoy', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9995670316588974, '_Entity__start_index': 32, '_Entity__end_index': 35, '_Entity__canon': 'hoy', '_Entity__label': '+0d', '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'de aventuras', '_Entity__entity_type': 'ent.audiovisual_subgenre', '_Entity__score': 0.9999997938873172, '_Entity__start_index': 19, '_Entity__end_index': 31, '_Entity__canon': 'aventura', '_Entity__label': 'aventura', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'programa', 'e_type': 'ent.audiovisual_genre', 'start_index': 10, 'end_index': 18, 'canon': 'programa', 'label': 'PROG'}, {'value': 'de aventuras', 'e_type': 'ent.audiovisual_subgenre', 'start_index': 19, 'end_index': 31, 'canon': 'aventura', 'label': 'aventura'}, {'value': 'hoy', 'e_type': 'ent.time_interval', 'start_index': 32, 'end_index': 35, 'canon': 'hoy', 'label': '+0d'}];domain.tv;domain.tv
¿Qué puedo ver mañana a las 8 de la noche por boomerang?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'a las 8 de la noche', '_Entity__entity_type': 'ent.time_instant', '_Entity__score': 0.9999999999982951, '_Entity__start_index': 21, '_Entity__end_index': 40, '_Entity__canon': 'a las 8 de la noche', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'mañana', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9999264939418726, '_Entity__start_index': 14, '_Entity__end_index': 20, '_Entity__canon': 'mañana', '_Entity__label': '+1d', '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'boomerang', '_Entity__entity_type': 'ent.audiovisual_channel', '_Entity__score': 0.9999999999994227, '_Entity__start_index': 45, '_Entity__end_index': 54, '_Entity__canon': 'boomerang', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}""]";[{'value': 'mañana', 'e_type': 'ent.time_interval', 'start_index': 14, 'end_index': 20, 'canon': 'mañana', 'label': '+1d'}, {'value': 'a las 8 de la noche', 'e_type': 'ent.time_instant', 'start_index': 21, 'end_index': 40, 'canon': 'a las 8 pm', 'label': '8h_pm'}, {'value': 'boomerang', 'e_type': 'ent.audiovisual_channel', 'start_index': 45, 'end_index': 54, 'canon': 'boomerang', 'label': None}];domain.tv;domain.tv
¿a las 3 de la tarde qué dan en la tele?;E;intent.tv.content_get_info;intent.tv.content_get_info;"[""{'_Entity__name': 'a las 3 de la tarde', '_Entity__entity_type': 'ent.time_instant', '_Entity__score': 0.999999999948791, '_Entity__start_index': 0, '_Entity__end_index': 19, '_Entity__canon': 'a las 3 de la tarde', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 34, '_Entity__end_index': 38, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}""]";[{'value': 'a las 3 de la tarde', 'e_type': 'ent.time_instant', 'start_index': 0, 'end_index': 19, 'canon': 'a las 3 pm', 'label': '3h_pm'}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 34, 'end_index': 38, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Pasá la serie a la tele;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 19, '_Entity__end_index': 23, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'serie a', '_Entity__entity_type': 'ent.audiovisual_sports_season', '_Entity__score': 0.9999791850228912, '_Entity__start_index': 8, '_Entity__end_index': 15, '_Entity__canon': 'serie a', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'serie', 'e_type': 'ent.audiovisual_genre', 'start_index': 8, 'end_index': 13, 'canon': 'serie', 'label': 'SER'}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 19, 'end_index': 23, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Poneme table 19 en la tv;DEI;None;intent.tv.display;[];[{'value': 'table 19', 'e_type': 'ent.audiovisual_film_title', 'start_index': 7, 'end_index': 15, 'canon': 'mesa 19', 'label': None}, {'value': 'tv', 'e_type': 'ent.device_tv', 'start_index': 22, 'end_index': 24, 'canon': 'tv', 'label': None}];domain.common;domain.tv
Poner 12 monos en la tv;DEI;None;intent.tv.display;[];[{'value': '12 monos', 'e_type': 'ent.audiovisual_film_title', 'start_index': 6, 'end_index': 14, 'canon': '12 monos', 'label': None}, {'value': 'tv', 'e_type': 'ent.device_tv', 'start_index': 21, 'end_index': 23, 'canon': 'tv', 'label': None}];domain.common;domain.tv
Quiero poner el documental de la cuna a la tumba en el tele;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'la cuna', '_Entity__entity_type': 'ent.audiovisual_tvshow_title', '_Entity__score': 0.99969741011765, '_Entity__start_index': 30, '_Entity__end_index': 37, '_Entity__canon': 'la cuna', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'tumba', '_Entity__entity_type': 'ent.audiovisual_sports_season', '_Entity__score': 0.9920934886535258, '_Entity__start_index': 43, '_Entity__end_index': 48, '_Entity__canon': 'tumba', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 55, '_Entity__end_index': 59, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 4}"", ""{'_Entity__name': 'documental', '_Entity__entity_type': 'ent.audiovisual_genre', '_Entity__score': 0.9999999957420254, '_Entity__start_index': 16, '_Entity__end_index': 26, '_Entity__canon': 'documental', '_Entity__label': 'DOC', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'documental', 'e_type': 'ent.audiovisual_genre', 'start_index': 16, 'end_index': 26, 'canon': 'documental', 'label': 'DOC'}, {'value': 'de la cuna a la tumba', 'e_type': 'ent.audiovisual_documental_title', 'start_index': 27, 'end_index': 48, 'canon': 'de la cuna a la tumba', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 55, 'end_index': 59, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Quiero ver 12 monos en la televisión;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'monos', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9938070257766329, '_Entity__start_index': 14, '_Entity__end_index': 19, '_Entity__canon': 'monos', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': '12', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9857813788054132, '_Entity__start_index': 11, '_Entity__end_index': 13, '_Entity__canon': '12', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'televisión', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 26, '_Entity__end_index': 36, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}""]";[{'value': '12 monos', 'e_type': 'ent.audiovisual_film_title', 'start_index': 11, 'end_index': 19, 'canon': '12 monos', 'label': None}, {'value': 'televisión', 'e_type': 'ent.device_tv', 'start_index': 26, 'end_index': 36, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
Reproducir predator 2 en la tele;DEI;None;intent.tv.display;[];[{'value': 'predator 2', 'e_type': 'ent.audiovisual_film_title', 'start_index': 11, 'end_index': 21, 'canon': 'depredador 2', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 28, 'end_index': 32, 'canon': 'tv', 'label': None}];domain.common;domain.tv
Ver la libertadores por la tele ahora;EI;intent.tv.content_get_info;intent.tv.display;"[""{'_Entity__name': 'ahora', '_Entity__entity_type': 'ent.time_instant', '_Entity__score': 0.9999999873528976, '_Entity__start_index': 32, '_Entity__end_index': 37, '_Entity__canon': 'ahora', '_Entity__label': '+0h', '_Entity__deep_links': None, '_Entity__order': 3}"", ""{'_Entity__name': 'libertadores', '_Entity__entity_type': 'ent.audiovisual_sports_season', '_Entity__score': 0.9999999998471315, '_Entity__start_index': 7, '_Entity__end_index': 19, '_Entity__canon': 'libertadores', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 27, '_Entity__end_index': 31, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}""]";[{'value': 'la libertadores', 'e_type': 'ent.audiovisual_sports_season', 'start_index': 4, 'end_index': 19, 'canon': 'copa libertadores', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 27, 'end_index': 31, 'canon': 'tv', 'label': None}, {'value': 'ahora', 'e_type': 'ent.time_instant', 'start_index': 32, 'end_index': 37, 'canon': 'ahora', 'label': '+0h'}];domain.tv;domain.tv
¿Me pasás el tercer capítulo de la temporada 1 de runaways por la tele?;E;intent.tv.display;intent.tv.display;"[""{'_Entity__name': 'tercer capítulo', '_Entity__entity_type': 'ent.audiovisual_tv_episode_number', '_Entity__score': 0.9999999999999994, '_Entity__start_index': 12, '_Entity__end_index': 27, '_Entity__canon': '3 capitulo', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}"", ""{'_Entity__name': 'temporada 1 de runaways', '_Entity__entity_type': 'ent.audiovisual_documental_title', '_Entity__score': 0.9999367377092271, '_Entity__start_index': 34, '_Entity__end_index': 57, '_Entity__canon': 'temporada 1 de runaways', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'tele', '_Entity__entity_type': 'ent.device_tv', '_Entity__score': 1.0, '_Entity__start_index': 65, '_Entity__end_index': 69, '_Entity__canon': 'tv', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 3}""]";[{'value': 'tercer capítulo', 'e_type': 'ent.audiovisual_tv_episode_number', 'start_index': 12, 'end_index': 27, 'canon': '3 capitulo', 'label': None}, {'value': 'temporada 1', 'e_type': 'ent.audiovisual_tv_season_number', 'start_index': 34, 'end_index': 45, 'canon': '1 temporada', 'label': None}, {'value': 'runaways', 'e_type': 'ent.audiovisual_tvseries_title', 'start_index': 49, 'end_index': 57, 'canon': 'runaways', 'label': None}, {'value': 'tele', 'e_type': 'ent.device_tv', 'start_index': 65, 'end_index': 69, 'canon': 'tv', 'label': None}];domain.tv;domain.tv
¿En qué horario está Tiene la palabra hoy?;E;intent.tv.question_time_loc;intent.tv.question_time_loc;"[""{'_Entity__name': 'Tiene la palabra', '_Entity__entity_type': 'ent.audiovisual_tvshow_title', '_Entity__score': 0.9861641515456803, '_Entity__start_index': 20, '_Entity__end_index': 36, '_Entity__canon': 'tiene la palabra', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'Tiene la palabra', 'e_type': 'ent.audiovisual_tvshow_title', 'start_index': 20, 'end_index': 36, 'canon': 'tiene la palabra', 'label': None}, {'value': 'hoy', 'e_type': 'ent.time_interval', 'start_index': 37, 'end_index': 40, 'canon': 'hoy', 'label': '+0d'}];domain.tv;domain.tv
¿En qué horario transmiten hoy killing lincoln?;E;intent.tv.question_time_loc;intent.tv.question_time_loc;"[""{'_Entity__name': 'hoy killing lincoln', '_Entity__entity_type': 'ent.audiovisual_tvshow_title', '_Entity__score': 0.9737386265085278, '_Entity__start_index': 26, '_Entity__end_index': 45, '_Entity__canon': 'hoy killing lincoln', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'hoy', 'e_type': 'ent.time_interval', 'start_index': 26, 'end_index': 29, 'canon': 'hoy', 'label': '+0d'}, {'value': 'killing lincoln', 'e_type': 'ent.audiovisual_tvshow_title', 'start_index': 30, 'end_index': 45, 'canon': 'quien mato a lincoln', 'label': None}];domain.tv;domain.tv
¿Está david rocco's dolce africa este sábado?;E;intent.tv.question_time_loc;intent.tv.question_time_loc;"[""{'_Entity__name': 'este sábado', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9999999991406447, '_Entity__start_index': 33, '_Entity__end_index': 44, '_Entity__canon': 'sabado', '_Entity__label': '6W', '_Entity__deep_links': None, '_Entity__order': 2}"", '{\'_Entity__name\': ""david rocco \'s dolce africa"", \'_Entity__entity_type\': \'ent.audiovisual_tvshow_title\', \'_Entity__score\': 0.9999999991406461, \'_Entity__start_index\': 5, \'_Entity__end_index\': 32, \'_Entity__canon\': \'david rocco dulce africa\', \'_Entity__label\': None, \'_Entity__deep_links\': None, \'_Entity__order\': 1}']";[{'value': 'david rocco s dolce africa', 'e_type': 'ent.audiovisual_tvshow_title', 'start_index': 5, 'end_index': 31, 'canon': 'david rocco dulce áfrica', 'label': None}, {'value': 'este sábado', 'e_type': 'ent.time_interval', 'start_index': 32, 'end_index': 43, 'canon': 'sabado', 'label': '6W'}];domain.tv;domain.tv
¿Por qué canal pasan independiente vs. temperley mañana?;E;intent.tv.question_time_loc;intent.tv.question_time_loc;"[""{'_Entity__name': 'temperley mañana', '_Entity__entity_type': 'ent.audiovisual_sports_team', '_Entity__score': 0.697514727831055, '_Entity__start_index': 37, '_Entity__end_index': 53, '_Entity__canon': 'temperley mañana', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'independiente', '_Entity__entity_type': 'ent.audiovisual_sports_team', '_Entity__score': 0.9999999999931238, '_Entity__start_index': 20, '_Entity__end_index': 33, '_Entity__canon': 'independiente', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'independiente', 'e_type': 'ent.audiovisual_sports_team', 'start_index': 20, 'end_index': 33, 'canon': 'independiente', 'label': None}, {'value': 'temperley', 'e_type': 'ent.audiovisual_sports_team', 'start_index': 37, 'end_index': 46, 'canon': 'temperley', 'label': None}, {'value': 'mañana', 'e_type': 'ent.time_interval', 'start_index': 47, 'end_index': 53, 'canon': 'mañana', 'label': '+1d'}];domain.tv;domain.tv
Buscar supercampeones;I;intent.tv.display;intent.tv.search;"[""{'_Entity__name': 'supercampeones', '_Entity__entity_type': 'ent.audiovisual_tvseries_title', '_Entity__score': 0.9999943555531645, '_Entity__start_index': 7, '_Entity__end_index': 21, '_Entity__canon': 'capitan tsubasa', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'supercampeones', 'e_type': 'ent.audiovisual_tvseries_title', 'start_index': 7, 'end_index': 21, 'canon': 'capitan tsubasa', 'label': None}];domain.tv;domain.tv
Quiero ver una película de miedo;E;intent.tv.search;intent.tv.search;"[""{'_Entity__name': 'miedo', '_Entity__entity_type': 'ent.audiovisual_subgenre', '_Entity__score': 0.9115901757999229, '_Entity__start_index': 27, '_Entity__end_index': 32, '_Entity__canon': 'miedo', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'película', '_Entity__entity_type': 'ent.audiovisual_genre', '_Entity__score': 0.9999999999999968, '_Entity__start_index': 15, '_Entity__end_index': 23, '_Entity__canon': 'pelicula', '_Entity__label': 'MOV', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'película', 'e_type': 'ent.audiovisual_genre', 'start_index': 15, 'end_index': 23, 'canon': 'pelicula', 'label': 'MOV'}, {'value': 'de miedo', 'e_type': 'ent.audiovisual_subgenre', 'start_index': 24, 'end_index': 32, 'canon': 'terror', 'label': 'terror'}];domain.tv;domain.tv
Una de alicia johnston quiero ver;E;intent.tv.search;intent.tv.search;"[""{'_Entity__name': 'alicia johnston', '_Entity__entity_type': 'ent.audiovisual_director', '_Entity__score': 0.9998932497804623, '_Entity__start_index': 7, '_Entity__end_index': 22, '_Entity__canon': 'alicia johnston', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'alicia johnston', 'e_type': 'ent.audiovisual_actor', 'start_index': 7, 'end_index': 22, 'canon': 'alicia johnston', 'label': None}];domain.tv;domain.tv
Ver partidos de san lorenzo;EI;None;intent.tv.search;[];[{'value': 'partidos', 'e_type': 'ent.audiovisual_sports_unit', 'start_index': 4, 'end_index': 12, 'canon': 'partido', 'label': None}, {'value': 'san lorenzo', 'e_type': 'ent.audiovisual_sports_team', 'start_index': 16, 'end_index': 27, 'canon': 'san lorenzo', 'label': None}];domain.tv;domain.tv
Ver una peli con la china suárez;E;intent.tv.search;intent.tv.search;"[""{'_Entity__name': 'la china suárez', '_Entity__entity_type': 'ent.audiovisual_actor', '_Entity__score': 0.9999999999999996, '_Entity__start_index': 17, '_Entity__end_index': 32, '_Entity__canon': 'china suarez', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 2}"", ""{'_Entity__name': 'peli', '_Entity__entity_type': 'ent.audiovisual_genre', '_Entity__score': 0.9999999999999997, '_Entity__start_index': 8, '_Entity__end_index': 12, '_Entity__canon': 'pelicula', '_Entity__label': 'MOV', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'peli', 'e_type': 'ent.audiovisual_genre', 'start_index': 8, 'end_index': 12, 'canon': 'pelicula', 'label': 'MOV'}, {'value': 'china suárez', 'e_type': 'ent.audiovisual_actor', 'start_index': 20, 'end_index': 32, 'canon': 'china suarez', 'label': None}];domain.tv;domain.tv
¿Me buscás la temporada 2 de h2o?;EI;None;intent.tv.search;[];[{'value': 'temporada 2', 'e_type': 'ent.audiovisual_tv_season_number', 'start_index': 13, 'end_index': 24, 'canon': '2 temporada', 'label': None}, {'value': 'h2o', 'e_type': 'ent.audiovisual_tvseries_title', 'start_index': 28, 'end_index': 31, 'canon': 'h2o', 'label': None}];domain.tv;domain.tv
¿Qué puedo ver este finde?;I;intent.tv.content_get_info;intent.tv.search;"[""{'_Entity__name': 'este finde', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9999999301250374, '_Entity__start_index': 14, '_Entity__end_index': 24, '_Entity__canon': 'el fin de semana', '_Entity__label': '6W:7W', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'este finde', 'e_type': 'ent.time_interval', 'start_index': 14, 'end_index': 24, 'canon': 'el fin de semana', 'label': '6W:7W'}];domain.tv;domain.tv
¿Tenés alguna serie para mí?;DEI;None;intent.tv.search;[];[{'value': 'serie', 'e_type': 'ent.audiovisual_genre', 'start_index': 13, 'end_index': 18, 'canon': 'serie', 'label': 'SER'}];None;domain.tv
este viernes quiero ver algo tipo Bita e os Animais ¿qué me sugerís?;EI;intent.tv.content_get_info;intent.tv.search_similar;"[""{'_Entity__name': 'este viernes', '_Entity__entity_type': 'ent.time_interval', '_Entity__score': 0.9999999997060994, '_Entity__start_index': 0, '_Entity__end_index': 12, '_Entity__canon': 'viernes', '_Entity__label': '5W', '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'este viernes', 'e_type': 'ent.time_interval', 'start_index': 0, 'end_index': 12, 'canon': 'viernes', 'label': '5W'}, {'value': 'Bita e os Animais', 'e_type': 'ent.audiovisual_tvseries_title', 'start_index': 34, 'end_index': 51, 'canon': 'bita e os animais', 'label': None}];domain.tv;domain.tv
¿Alguna que se parezca ataque a pearl harbor tenés?;E;intent.tv.search_similar;intent.tv.search_similar;"[""{'_Entity__name': 'a pearl harbor', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9995086403784887, '_Entity__start_index': 29, '_Entity__end_index': 43, '_Entity__canon': 'a pearl harbor', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'ataque a pearl harbor', 'e_type': 'ent.audiovisual_film_title', 'start_index': 22, 'end_index': 43, 'canon': 'ataque a pearl harbor', 'label': None}];domain.tv;domain.tv
¿Alguna tipo La Profecía para ver esta noche?;E;intent.tv.search_similar;intent.tv.search_similar;"[""{'_Entity__name': 'La Profecía para ver esta noche', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.9909171017067842, '_Entity__start_index': 12, '_Entity__end_index': 43, '_Entity__canon': 'la noche', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'La Profecía', 'e_type': 'ent.audiovisual_film_title', 'start_index': 12, 'end_index': 23, 'canon': 'la profecia', 'label': None}, {'value': 'esta noche', 'e_type': 'ent.time_interval', 'start_index': 33, 'end_index': 43, 'canon': 'de 9 pm a 12 pm', 'label': '9h_pm:12h_pm'}];domain.tv;domain.tv
¿Tenés alguna onda N C I S Nueva Orleans?;E;intent.tv.search_similar;intent.tv.search_similar;"[""{'_Entity__name': 'N C I S Nueva Orleans', '_Entity__entity_type': 'ent.audiovisual_tvseries_title', '_Entity__score': 1.0, '_Entity__start_index': 18, '_Entity__end_index': 39, '_Entity__canon': 'n c i s nueva orleans', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[{'value': 'N C I S Nueva Orleans', 'e_type': 'ent.audiovisual_tvseries_title', 'start_index': 18, 'end_index': 39, 'canon': 'ncis new orleans', 'label': None}];domain.tv;domain.tv
El amigo de mi primo tiene un auto rojo;DI;intent.tv.display;None;"[""{'_Entity__name': 'mi primo tiene un auto rojo', '_Entity__entity_type': 'ent.audiovisual_film_title', '_Entity__score': 0.8727563044811649, '_Entity__start_index': 12, '_Entity__end_index': 39, '_Entity__canon': 'mi primo tiene un auto rojo', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[];domain.tv;None
Es una empresa de la construcción;DI;intent.common.swearwords;None;[];[];domain.common;None
Llamé a los del delivery y nunca vinieron;DI;intent.tv.display;None;"[""{'_Entity__name': 'los del delivery y nunca vinieron', '_Entity__entity_type': 'ent.audiovisual_tvseries_title', '_Entity__score': 0.6966727608717619, '_Entity__start_index': 8, '_Entity__end_index': 41, '_Entity__canon': 'los del delivery y nunca vinieron', '_Entity__label': None, '_Entity__deep_links': None, '_Entity__order': 1}""]";[];domain.tv;None
